Time,Rank,Kills,Damage_Dealt,Damage_Taken
187,13,0,0,100
61,41,0,0,100
23,65,0,0,100
48,53,0,0,100
39,62,0,0,100
20,76,0,0,100
47,48,0,0,100
50,51,0,0,100
68,39,0,0,100
51,41,0,0,100
119,23,0,0,100
41,65,0,0,100
274,8,0,0,100
128,19,0,0,100
96,24,0,0,100
94,30,0,0,100
25,66,0,0,100
56,42,0,0,100
9,75,0,0,100
30,63,0,0,100
80,27,0,0,100
140,16,0,0,100
13,65,0,0,100
22,72,0,0,100
39,52,0,0,100
20,78,0,0,100
186,14,0,0,100
50,43,0,0,100
272,4,0,0,100
56,33,0,0,100
105,19,0,0,100
